Characteristic,Total (N = 348),Adult patients (n = 200),Caregivers (n = 148)
"Type of respondent, n (%)",,,
  Adult patient,200 (57.5),—,—
  Caregiver of pediatric patient,148 (42.5),—,—
"Adult patient age, years, mean ± SD",—,58.3 ± 13.5,—
"Caregiver age, years, mean ± SD",—,—,36.1 ± 9.5
"Pediatric patient age, years, mean ± SD",—,—,8.2 ± 4.4
"Sex of respondent, n (%)",,,
  Female,—,151 (75.5),125 (84.5)
  Male,—,49 (24.5),23 (15.5)
"Educational level, n (%)",,,
  No formal education,12 (3.4),—,—
  Primary education,112 (32.2),—,—
  Secondary education,114 (32.8),—,—
  Technical/technologist,27 (7.8),—,—
  Undergraduate degree,73 (21.0),—,—
  Postgraduate degree,8 (2.3),—,—
"Cancer diagnosis, n (%)",,,
  Leukemia,91 (26.1),6 (3.0),85 (57.4)
  Thyroid cancer,72 (20.7),71 (35.5),1 (0.7)
  Breast cancer,41 (11.8),41 (20.5),—
  Lymphoma,23 (6.6),8 (4.0),15 (10.1)
  Other cancers*,121 (34.8),74 (37.0),47 (31.8)
