item,S_X2,df.S_X2,RMSEA_S_X2,p_S_X2
imf01_if,76.301,64,0.024,0.139
imf02_if,57.091,52,0.017,0.292
imf03_if,59.588,62,0,0.563
imf04_if,71.272,58,0.026,0.113
imf05_if,63.574,54,0.023,0.175
imf06_if,80.449,78,0.01,0.402
imf07_if,77.407,75,0.01,0.402
imf08_if,72.233,76,0,0.601
imf09_if,83.593,89,0,0.642
imf10_if,106.291,99,0.015,0.29
imps01_ips,62.661,64,0,0.524
imps02_ips,68.281,66,0.01,0.4
imps03_ips,113.025,102,0.018,0.214
imps04_ips,76.055,74,0.009,0.412
imps05_ips,60.098,55,0.016,0.296
imps06_ips,65.232,60,0.016,0.3
imps07_ips,74.166,73,0.007,0.44
imps08_ips,101.043,89,0.02,0.18
imps09_ips,63.213,62,0.008,0.433
imps10_ips,106.427,91,0.022,0.129
