factor,item,loading_std,SE,CI_low,CI_high
IF,imf01_if,0.8870881252840219,0.019140194523222888,0.8495740333614142,0.9246022172066296
IF,imf02_if,0.9249370984745114,0.012961044639088206,0.8995339177798827,0.9503402791691402
IF,imf03_if,0.8813960027695688,0.017813944564296105,0.8464813130009553,0.9163106925381822
IF,imf04_if,0.8938550924508688,0.016121224914807015,0.8622580722311772,0.9254521126705604
IF,imf05_if,0.9224043757819653,0.01379865360363583,0.8953595116836953,0.9494492398802353
IF,imf06_if,0.8372340982493073,0.02410407229844365,0.7899909846636082,0.8844772118350064
IF,imf07_if,0.6958830466120232,0.04347060134873749,0.6106822335821994,0.7810838596418469
IF,imf08_if,0.7997504633548961,0.027505115298927935,0.7458414279783757,0.8536594987314164
IF,imf09_if,0.5777373602284529,0.05194764906858443,0.47592183897250173,0.6795528814844041
IF,imf10_if,0.6723361100617362,0.04066136762110332,0.5926412939622306,0.7520309261612418
Ips,imps01_ips,0.8463862977459624,0.024921436767049502,0.797541179239553,0.8952314162523718
Ips,imps02_ips,0.8144819266755227,0.02554930983480945,0.7644061995694411,0.8645576537816042
Ips,imps03_ips,0.7012735778855766,0.03996901088164392,0.6229357560598651,0.7796113997112882
Ips,imps04_ips,0.7618909350519941,0.029564869485942714,0.7039448556519192,0.819837014452069
Ips,imps05_ips,0.9299718794458267,0.013135776990862909,0.9042262296347855,0.9557175292568679
Ips,imps06_ips,0.7404491364115333,0.03730740152494654,0.6673279730658634,0.8135702997572032
Ips,imps07_ips,0.8077642543382005,0.026593430505325828,0.7556420883223931,0.859886420354008
Ips,imps08_ips,0.6753019891630754,0.04390689906102516,0.5892460483306305,0.7613579299955202
Ips,imps09_ips,0.8769478590937125,0.02142067354144488,0.8349641104278905,0.9189316077595345
Ips,imps10_ips,0.5391438137740348,0.058091157375035965,0.42528723749871594,0.6530003900493535
